# 2d Ising model
# L = 8
# method = heatbath
# beta_min = 0.7
# beta_max = 1
# N_pts_beta = 1
# h_min = -0.3
# h_max = 0.3
# N_pts_h = 101
# Ntherm 10000
# Nac 100
# Number of datapoints 1000
# beta 	 e 	 m 	 |m| 	 msq 	 h 	 - 	 cV
7.000000e-01	-1.959625e+00	-9.889062e-01	9.889062e-01	9.784326e-01	1.020000e-01		2.723106e-03
7.000000e-01	-1.952562e+00	-9.870313e-01	9.870313e-01	9.747920e-01	1.080000e-01		3.225040e-03
7.000000e-01	-1.954562e+00	-9.871250e-01	9.871250e-01	9.751348e-01	1.140000e-01		3.407933e-03
7.000000e-01	-1.955812e+00	-9.873125e-01	9.873125e-01	9.755078e-01	1.200000e-01		3.386266e-03
7.000000e-01	-1.950500e+00	-9.858438e-01	9.858438e-01	9.726260e-01	1.260000e-01		3.527112e-03
7.000000e-01	-1.958937e+00	-9.883125e-01	9.883125e-01	9.773262e-01	1.320000e-01		2.831570e-03
7.000000e-01	-1.950250e+00	-9.861875e-01	9.861875e-01	9.732422e-01	1.380000e-01		3.396282e-03
7.000000e-01	-1.946688e+00	-9.848750e-01	9.848750e-01	9.707266e-01	1.440000e-01		3.551334e-03
7.000000e-01	-1.949688e+00	-9.851250e-01	9.851250e-01	9.715313e-01	1.500000e-01		3.799366e-03
7.000000e-01	-1.951812e+00	-9.865625e-01	9.865625e-01	9.739551e-01	1.560000e-01		3.247320e-03
7.000000e-01	-1.951938e+00	-9.866563e-01	9.866563e-01	9.741279e-01	1.620000e-01		3.306809e-03
7.000000e-01	-1.952688e+00	-9.864688e-01	9.864688e-01	9.739131e-01	1.680000e-01		3.590687e-03
7.000000e-01	-1.948187e+00	-9.854688e-01	9.854688e-01	9.719014e-01	1.740000e-01		3.835320e-03
7.000000e-01	-1.971750e+00	9.158125e-01	9.924375e-01	9.852324e-01	1.800000e-01		1.871371e-03
7.000000e-01	-1.974813e+00	9.933750e-01	9.933750e-01	9.870371e-01	1.860000e-01		1.620428e-03
7.000000e-01	-1.970625e+00	9.921875e-01	9.921875e-01	9.847539e-01	1.920000e-01		2.038668e-03
7.000000e-01	-1.975688e+00	9.936250e-01	9.936250e-01	9.875156e-01	1.980000e-01		1.480870e-03
7.000000e-01	-1.970813e+00	9.922813e-01	9.922813e-01	9.849131e-01	2.040000e-01		1.869869e-03
7.000000e-01	-1.967437e+00	9.914375e-01	9.914375e-01	9.832676e-01	2.100000e-01		2.100797e-03
7.000000e-01	-1.975688e+00	9.934375e-01	9.934375e-01	9.871758e-01	2.160000e-01		1.580401e-03
7.000000e-01	-1.975750e+00	9.935625e-01	9.935625e-01	9.874160e-01	2.220000e-01		1.568490e-03
7.000000e-01	-1.976313e+00	9.938750e-01	9.938750e-01	9.880098e-01	2.280000e-01		1.552992e-03
7.000000e-01	-1.976063e+00	9.936250e-01	9.936250e-01	9.875371e-01	2.340000e-01		1.604580e-03
7.000000e-01	-1.975313e+00	9.935312e-01	9.935312e-01	9.873271e-01	2.400000e-01		1.513976e-03
7.000000e-01	-1.977688e+00	9.942188e-01	9.942188e-01	9.886768e-01	2.460000e-01		1.419375e-03
7.000000e-01	-1.975625e+00	9.935312e-01	9.935312e-01	9.873525e-01	2.520000e-01		1.557855e-03
7.000000e-01	-1.975000e+00	9.933437e-01	9.933437e-01	9.869951e-01	2.580000e-01		1.649922e-03
7.000000e-01	-1.976313e+00	9.938125e-01	9.938125e-01	9.878887e-01	2.640000e-01		1.518539e-03
7.000000e-01	-1.974375e+00	9.932500e-01	9.932500e-01	9.868145e-01	2.700000e-01		1.745434e-03
7.000000e-01	-1.978187e+00	9.942500e-01	9.942500e-01	9.887578e-01	2.760000e-01		1.468467e-03
7.000000e-01	-1.978187e+00	9.942500e-01	9.942500e-01	9.887480e-01	2.820000e-01		1.391904e-03
7.000000e-01	-1.978438e+00	9.943437e-01	9.943437e-01	9.889248e-01	2.880000e-01		1.362765e-03
7.000000e-01	-1.979563e+00	9.947500e-01	9.947500e-01	9.897012e-01	2.940000e-01		1.244277e-03
7.000000e-01	-1.980000e+00	9.947187e-01	9.947187e-01	9.896670e-01	3.000000e-01		1.323766e-03
